Year,Month,SettlementPoint,AveragePrice
2016,1,HB_BUSAVG,19.209301075268822
2016,1,HB_HOUSTON,19.565725806451617
2016,1,HB_HUBAVG,19.25869623655914
2016,1,HB_NORTH,19.133306451612892
2016,1,HB_SOUTH,19.210053763440854
2016,1,HB_WEST,19.126559139784952
2016,1,LZ_AEN,19.324663978494627
2016,1,LZ_CPS,19.3538440860215
2016,1,LZ_HOUSTON,19.563938172043017
2016,1,LZ_LCRA,19.31745967741934
2016,1,LZ_NORTH,19.187997311827974
2016,1,LZ_RAYBN,19.447943548387116
2016,1,LZ_SOUTH,19.48172043010753
2016,1,LZ_WEST,19.51926075268816
2016,2,HB_BUSAVG,15.288247126436788
2016,2,HB_HOUSTON,15.464540229885062
2016,2,HB_HUBAVG,15.269252873563223
2016,2,HB_NORTH,15.292658045977005
2016,2,HB_SOUTH,15.333591954022989
2016,2,HB_WEST,14.988663793103447
2016,2,LZ_AEN,15.448290229885073
2016,2,LZ_CPS,15.520014367816108
2016,2,LZ_HOUSTON,15.487988505747138
2016,2,LZ_LCRA,15.488548850574706
2016,2,LZ_NORTH,15.46221264367817
2016,2,LZ_RAYBN,15.400431034482773
2016,2,LZ_SOUTH,15.935862068965523
2016,2,LZ_WEST,15.044482758620699
2016,3,HB_BUSAVG,16.755625841184376
2016,3,HB_HOUSTON,17.12495289367428
2016,3,HB_HUBAVG,16.654347240915186
2016,3,HB_NORTH,16.859367429340523
2016,3,HB_SOUTH,16.763109017496653
2016,3,HB_WEST,15.871668909825038
2016,3,LZ_AEN,16.855074024226113
2016,3,LZ_CPS,16.898183041722756
2016,3,LZ_HOUSTON,17.206729475100946
2016,3,LZ_LCRA,16.79629878869449
2016,3,LZ_NORTH,17.461507402422594
2016,3,LZ_RAYBN,17.11724091520861
2016,3,LZ_SOUTH,19.521144010767156
2016,3,LZ_WEST,16.00265141318978
2016,4,HB_BUSAVG,18.289347222222197
2016,4,HB_HOUSTON,18.940958333333334
2016,4,HB_HUBAVG,18.16686111111111
2016,4,HB_NORTH,18.350666666666676
2016,4,HB_SOUTH,18.51290277777777
2016,4,HB_WEST,16.86274999999999
2016,4,LZ_AEN,18.25606944444444
2016,4,LZ_CPS,19.069361111111103
2016,4,LZ_HOUSTON,19.128930555555566
2016,4,LZ_LCRA,18.39270833333334
2016,4,LZ_NORTH,19.08763888888888
2016,4,LZ_RAYBN,18.855361111111097
2016,4,LZ_SOUTH,20.73800000000002
2016,4,LZ_WEST,17.153666666666663
2016,5,HB_BUSAVG,18.15958333333335
2016,5,HB_HOUSTON,19.17408602150539
2016,5,HB_HUBAVG,18.247002688172035
2016,5,HB_NORTH,17.905631720430126
2016,5,HB_SOUTH,18.570456989247315
2016,5,HB_WEST,17.337674731182776
2016,5,LZ_AEN,18.12490591397849
2016,5,LZ_CPS,18.479865591397857
2016,5,LZ_HOUSTON,19.903991935483887
2016,5,LZ_LCRA,18.18278225806455
2016,5,LZ_NORTH,18.182889784946234
2016,5,LZ_RAYBN,18.320994623655913
2016,5,LZ_SOUTH,20.69174731182796
2016,5,LZ_WEST,17.737526881720434
2016,6,HB_BUSAVG,23.90981944444443
2016,6,HB_HOUSTON,26.255736111111084
2016,6,HB_HUBAVG,24.297847222222227
2016,6,HB_NORTH,23.15805555555555
2016,6,HB_SOUTH,24.645374999999984
2016,6,HB_WEST,23.141930555555533
2016,6,LZ_AEN,24.2375138888889
2016,6,LZ_CPS,24.958069444444472
2016,6,LZ_HOUSTON,29.915083333333325
2016,6,LZ_LCRA,24.16441666666668
2016,6,LZ_NORTH,23.562680555555552
2016,6,LZ_RAYBN,23.315944444444447
2016,6,LZ_SOUTH,27.47165277777775
2016,6,LZ_WEST,23.48876388888888
2016,7,HB_BUSAVG,27.187473118279588
2016,7,HB_HOUSTON,29.53892473118277
2016,7,HB_HUBAVG,27.459206989247352
2016,7,HB_NORTH,26.8007930107527
2016,7,HB_SOUTH,26.960255376344076
2016,7,HB_WEST,26.543561827957014
2016,7,LZ_AEN,27.976102150537606
2016,7,LZ_CPS,27.967956989247316
2016,7,LZ_HOUSTON,29.91186827956986
2016,7,LZ_LCRA,27.592217741935475
2016,7,LZ_NORTH,27.415779569892457
2016,7,LZ_RAYBN,27.471075268817224
2016,7,LZ_SOUTH,28.88958333333334
2016,7,LZ_WEST,27.178790322580664
2016,8,HB_BUSAVG,30.567137096774225
2016,8,HB_HOUSTON,32.9725403225807
2016,8,HB_HUBAVG,30.948534946236535
2016,8,HB_NORTH,29.82838709677418
2016,8,HB_SOUTH,31.20797043010751
2016,8,HB_WEST,29.786733870967733
2016,8,LZ_AEN,30.699516129032325
